267500,KBSTAR 미국장기국채선물인버스2X(합성 H),S&P U.S. Treasury Bond Futures Excess Return Index
218420,KODEX 미국S&P500에너지(합성),S&P Select Sector Energy Index
304670,KODEX 미국채울트라30년선물인버스(H),S&P Ultra T-Bond Futures Index(ER)
219390,KBSTAR 미국S&P원유생산기업(합성 H),S&P Oil & Gas Exploration & Production Select Industry Index(PR)
291130,ACE 멕시코MSCI(합성),MSCI MEXICO IMI 25/50 Price return Index
391600,ACE 미국친환경그린테마INDXX,Indxx US Green Infrastructure Price return Index
267450,KBSTAR 미국장기국채선물인버스(H),S&P U.S. Treasury Bond Futures Excess Return Index
399580,KBSTAR 글로벌클린에너지S&P,S&P Global Clean Energy Index (Price Return)
305720,KODEX 2차전지산업,FnGuide 2차전지 산업 지수
373530,ARIRANG 신흥국MSCI인버스(합성 H),MSCI EM Index
385510,KODEX K-신재생에너지액티브,FnGuide K-신재생에너지 플러스 지수
252710,TIGER 200선물인버스2X,코스피 200 선물지수
253230,KOSEF 200선물인버스2X,코스피 200 선물지수
253160,ARIRANG 200선물인버스2X,코스피 200 선물지수
252420,KBSTAR 200선물인버스2X,코스피 200 선물지수
252670,KODEX 200선물인버스2X,코스피 200 선물지수
102960,KODEX 기계장비,KRX 기계장비
377990,TIGER Fn신재생에너지,FnGuide 신재생에너지 지수
269530,ARIRANG S&P글로벌인프라,S&P Global Infrastructure Index
409810,KODEX 미국나스닥100선물인버스(H),NASDAQ 100
261110,TIGER 미국달러선물레버리지,미국달러선물지수
123310,TIGER 인버스,코스피 200 선물지수
145670,ACE 인버스,코스피 200 선물지수
225800,KOSEF 미국달러선물레버리지,미국달러선물지수
306520,HANARO 200선물인버스,코스피 200 선물지수
114800,KODEX 인버스,코스피 200 선물지수
253240,KOSEF 200선물인버스,코스피 200 선물지수
261250,KODEX 미국달러선물레버리지,미국달러선물지수
256440,ACE 인도네시아MSCI(합성),MSCI Indonesia Index
252410,KBSTAR 200선물인버스,코스피 200 선물지수
203780,TIGER 미국나스닥바이오,NASDAQ Biotechnology 지수(시장가격지수)
305540,TIGER 2차전지테마,WISE 2차전지 테마 지수
404540,TIGER KRX기후변화솔루션,KRX 기후변화 솔루션지수
404470,HANARO KRX기후변화솔루션,KRX 기후변화 솔루션지수
404260,KODEX KRX기후변화솔루션,KRX 기후변화 솔루션지수
404650,SOL KRX기후변화솔루션,KRX 기후변화 솔루션지수
137610,TIGER 농산물선물Enhanced(H),S&P GSCI Agriculture Enhanced Index(ER)
217780,TIGER 차이나CSI300인버스(합성),CSI 300 Index
403990,KBSTAR KRX기후변화솔루션,KRX 기후변화 솔루션지수
404120,TIMEFOLIO 탄소중립액티브,KRX 기후변화 솔루션지수
196030,ACE 일본TOPIX레버리지(H),TOPIX
287320,KBSTAR 200산업재,코스피 200 산업재
200030,KODEX 미국S&P500산업재(합성),S&P Select Sector Industrial Index
138920,KODEX 콩선물(H),S&P GSCI Soybeans Index(TR)
227550,TIGER 200 산업재,코스피 200 산업재
411060,ACE KRX금현물,KRX 금현물지수
138230,KOSEF 미국달러선물,미국달러선물지수
276000,TIGER 글로벌자원생산기업(합성 H),MorningStar Global Upstream Resources Index(PR)
269420,KODEX S&P글로벌인프라(합성),S&P Global Infrastructure Index
364980,TIGER KRX2차전지K-뉴딜,KRX 2차전지 K-뉴딜지수
261240,KODEX 미국달러선물,미국달러선물지수
299070,ACE 국채선물10년인버스,10년국채선물지수
105010,TIGER 라틴35,BNY Latin America 35 ADR
176950,KODEX 국채선물10년인버스,10년국채선물지수
225030,TIGER 미국S&P500선물인버스(H),S&P 500 Futures Total Return Index
379790,KBSTAR 유로스탁스50(H),EURO STOXX 50 Index
295020,KBSTAR 국채선물10년인버스,10년국채선물지수
329750,TIGER 미국달러단기채권액티브,KIS U.S. TREASURY BOND 0-1Y 지수(총수익)
195930,TIGER 유로스탁스50(합성 H),EURO STOXX 50 Index
309230,ACE 미국WideMoat가치주,MorningStar Wide Moat Focus Index
271060,KODEX 3대농산물선물(H),S&P GSCI Grains Select Index ER
195920,TIGER 일본TOPIX(합성 H),TOPIX
269370,TIGER S&P글로벌인프라(합성),S&P Global Infrastructure Index
248270,TIGER S&P글로벌헬스케어(합성),S&P Global 1200 Health Care Index
334700,KBSTAR 팔라듐선물인버스(H),S&P GSCI Palladium Excess Return Index
397410,KBSTAR 국채선물5년추종인버스,5년 국채선물 추종 지수
332610,ARIRANG 미국단기우량회사채,ICE BofaAML 1-3 Year AAA-A US Corporate Index(총수익지수)
238720,ACE 일본Nikkei225(H),Nikkei 225
251340,KODEX 코스닥150선물인버스,F-코스닥150 지수
299080,ACE 국채선물3년인버스,국채선물지수
250780,TIGER 코스닥150선물인버스,F-코스닥150 지수
139230,TIGER 200 중공업,코스피 200 중공업
291620,KOSEF 코스닥150선물인버스,F-코스닥150 지수
282000,KBSTAR 국고채3년선물인버스,국채선물지수
292770,KODEX 국채선물3년인버스,국채선물지수
291680,KBSTAR 차이나H선물인버스(H),Hang Seng China Enterprises Futures Index(Price Return)
301410,ARIRANG 코스닥150선물인버스,F-코스닥150 지수
385550,KBSTAR KIS단기종합채권(AA-이상)액티브,KIS 단기종합채권지수(AA-이상)(총수익지수)
316300,ACE 싱가포르리츠,Morningstar Singapore REIT Yield Focus Index(PR)
285010,KBSTAR 200중공업,코스피 200 중공업
213610,KODEX 삼성그룹밸류,WISE 삼성그룹 밸류 인덱스
357870,TIGER CD금리투자KIS(합성),KIS CD Index(총수익)
275750,KBSTAR 코스닥150선물인버스,F-코스닥150 지수
273140,KODEX 단기변동금리부채권액티브,KAP 단기변동금리부은행채권지수
272580,TIGER 단기채권액티브,KIS MSB 3M PLUS 지수(총수익)
108450,ACE 삼성그룹섹터가중,MKF SAMs SW
214980,KODEX 단기채권PLUS,KRW Cash PLUS 지수(총수익)
157450,TIGER 단기통안채,KIS 통안채 3개월(총수익)
239660,ARIRANG 우량회사채50 1년,KOBI HALF CREDIT Index(총수익)
363510,SOL KIS단기통안채,KIS 단기통안채 Index(총수익)
196230,KBSTAR 단기통안채,KIS 통안채 5개월 지수(총수익)
185680,KODEX 미국S&P바이오(합성),S&P Biotechnology Select Industry Index
272560,KBSTAR 단기국공채액티브,KIS 종합채권국공채3M~1.5Y지수
390950,HANARO 단기채권액티브,KAP 단기 통안채 지수(총수익)
402970,ACE 미국고배당S&P,Dow Jones U.S. Dividend 100 Price Return Index
153130,KODEX 단기채권,KRW Cash 지수(총수익)
215620,HK S&P코리아로우볼,S&P Korea 저변동성 지수
278620,ARIRANG 단기채권액티브,"KAP 투자적격 크레딧 채권 1년 지수(A- 이상,총수익)"
319640,TIGER 골드선물(H),S&P GSCI Gold Index(TR)
102780,KODEX 삼성그룹,삼성그룹
132030,KODEX 골드선물(H),S&P GSCI Gold Index(TR)
122260,KOSEF 통안채1년,MK 통안채지수(총수익)
130730,KOSEF 단기자금,MK 머니마켓 지수(총수익)
360150,KODEX 코스닥150롱코스피200숏선물,코스닥150 롱 100% 코스피200 숏 100% 선물지수
190620,ACE 단기통안채,KIS MSB 단기지수(총수익)
287300,KBSTAR 200건설,코스피 200 건설
356540,ACE 종합채권(AA-이상)KIS액티브,KIS 종합채권 AA-이상 총수익 지수(Total return Index)
314700,HANARO 농업융복합산업,FnGuide 농업융복합산업 지수(시장가격)
373790,KOSEF 미국방어배당성장나스닥,Nasdaq US Low Volatility Dividend Achievers Index
114260,KODEX 국고채3년,MKF 국고채지수(총수익)
298340,ARIRANG 국채선물3년,국채선물지수
448870,ACE 23-12 회사채(AA-이상)액티브,KIS 크레딧 2312만기형 총수익지수
448880,ACE 24-12 회사채(AA-이상)액티브,KIS 크레딧 2412만기형 총수익지수
414270,ACE G2전기차&자율주행액티브,FactSet US-China Electric&Autonomous Vehicle Price Return Index
446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,Solactive Global Semiconductor TOP4 Plus Price Return Index
435040,ACE 글로벌브랜드TOP10블룸버그,Bloomberg Global Select Industry Leaders TOP10 Index(PR)
440640,ACE 단기채권알파액티브,KIS 단기채권알파AA-이상 총수익지수
452250,ACE 미국30년국채선물레버리지(합성 H),S&P Ultra T-Bond Futures Index(ER)
438080,ACE 미국S&P500채권혼합액티브,S&P500 and Short-Term Treasury 30/70 Blend Index
438100,ACE 미국나스닥100채권혼합액티브,NASDAQ-100 US T-Bills 30/70 Index
440650,ACE 미국달러단기채권액티브,Bloomberg Short-Term Treasury Total Return Index
448540,ACE 엔비디아채권혼합블룸버그,Bloomberg Blended NVIDIA Equity and Korean Bond Index
433500,ACE 원자력테마딥서치,DeepSearch 원자력테마 지수 (시장가격지수)
447430,ACE 차세대가치주액티브,FnGuide 올라운드 가치주 지수
447660,ARIRANG Apple채권혼합Fn,FnGuide 애플채권혼합 지수
436180,ARIRANG K-유니콘투자기업액티브,FnGuide K-유니콘 투자기업 지수
429740,ARIRANG K리츠Fn,FnGuide 리츠 지수
449450,ARIRANG K방산Fn,FnGuide K-방위산업 지수
433850,ARIRANG TDF2030액티브,Morningstar Korea Lifetime Allocation Moderate 2030 Index (Gross Return)
433860,ARIRANG TDF2040액티브,Morningstar Korea Lifetime Allocation Moderate 2040 Index (Gross Return)
433870,ARIRANG TDF2050액티브,Morningstar Korea Lifetime Allocation Moderate 2050 Index (Gross Return)
433880,ARIRANG TDF2060액티브,Morningstar Korea Lifetime Allocation Moderate 2060 Index (Gross Return)
451600,ARIRANG 국고채30년액티브,KAP 국고채 30년 지수(총수익)
442580,ARIRANG 글로벌D램반도체iSelect,iSelect 글로벌DRAM반도체지수
419650,ARIRANG 글로벌수소&차세대연료전지MV,BlueStar Hydrogen and NextGen Fuel Cell Index (시장가격)
438210,ARIRANG 글로벌인공지능산업MV,BlueStar Artificial Intelligence Index(시장가격)
429760,ARIRANG 미국S&P500,S&P 500
426410,ARIRANG 미국대체투자Top10MV,BlueStar Top 10 US Listed Alternative Asset Managers Index (시장가격)
421320,ARIRANG 우주항공&UAM iSelect,iSelect 우주항공UAM 지수
451000,ARIRANG 종합채권(AA-이상)액티브,"KAP 종합채권지수(AA-이상, 총수익)"
445690,BNK 주주가치액티브,FnGuide 주주가치 지수
448570,FOCUS AI코리아액티브,코스피
448490,HANARO 32-10 국고채액티브,KAP 32-10 국고채 10년 총수익지수
438900,HANARO Fn K-푸드,FnGuide K-푸드 지수 (시장가격)
441540,HANARO Fn조선해운,FnGuide 조선해운지수
432850,HANARO 글로벌백신치료제MSCI,MSCI World IMI Virology Select Index
448510,HANARO 글로벌신재생에너지MSCI(합성),MSCI ACWI IMI New Energy ESG Filtered (Price Return)
424460,HANARO 글로벌워터MSCI(합성),MSCI ACWI IMI Water ESG Filtered (Price Return)
432840,HANARO 미국S&P500,S&P 500
419170,HANARO 미국메타버스iSelect,iSelect US 메타버스 지수(시장가격)
434730,HANARO 원자력iSelect,iSelect 원자력지수 (시장가격)
448590,KBSTAR 23-11 회사채(AA-이상)액티브,KIS 2023년 만기도래 크레딧 종합채권 지수(AA-이상)(시장가격)
448600,KBSTAR 25-11 회사채(AA-이상)액티브,KIS 2025년 만기도래 크레딧 종합채권 지수(AA-이상)(시장가격)
422420,KBSTAR 2차전지액티브,iSelect 2차전지 지수 (시장가격지수)
427110,KBSTAR Fn창업투자회사,FnGuide 창업투자회사 지수(시장가격지수)
427120,KBSTAR Fn플랫폼테마,FnGuide 플랫폼테마 지수(시장가격지수)
442550,KBSTAR TDF2030액티브,iSelect 전략적자산배분 TDF 2030 지수
442560,KBSTAR TDF2040액티브,iSelect 전략적자산배분 TDF 2040 지수
442570,KBSTAR TDF2050액티브,iSelect 전략적자산배분 TDF 2050 지수
432600,KBSTAR 국채선물3년,국채선물지수
437370,KBSTAR 글로벌농업경제MV,MVIS Global Agribusiness Index(Price Return)
417450,KBSTAR 글로벌수소경제Indxx,Indxx Hydrogen Economy Index (Net Total Return)
442320,KBSTAR 글로벌원자력iSelect,iSelect 글로벌원자력 지수(시장가격)
437350,KBSTAR 미국단기투자등급회사채액티브,Bloomberg US Corporate 1-5 Years Total Return Index
449580,KBSTAR 미국빅데이터Top3채권혼합iSelect,iSelect 미국 빅데이터Top3 채권혼합지수(Price Return)
446700,KBSTAR 배터리 리사이클링iSelect,iSelect 배터리 리사이클링 지수
